rsi_min,rsi_max,entry_cutoff,risk_reward_ratio,volume_multiplier,trades,wins,losses,target_exits,stop_loss_exits,day_end_exits,win_rate,net_pnl,return_percent,profit_factor,max_drawdown,max_drawdown_percent,average_net_pnl,ending_capital
52,70,11:00,1.5,1.2,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,70,11:00,2.0,1.0,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,70,11:00,2.0,1.1,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,70,11:00,2.0,1.2,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,70,11:00,2.5,1.0,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,70,11:00,2.5,1.1,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,70,11:00,2.5,1.2,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,70,12:00,1.5,1.0,14,4,10,0,2,12,28.57,-2154.82,-2.1548,0.2375,2506.5,2.5065,-153.92,97845.18
52,70,12:00,1.5,1.1,12,4,8,0,2,10,33.33,-1642.77,-1.6428,0.29,2004.45,2.0045,-136.9,98357.23
52,70,12:00,1.5,1.2,9,2,7,0,2,7,22.22,-1956.18,-1.9562,0.1088,2109.03,2.109,-217.35,98043.82
52,70,12:00,2.0,1.0,14,4,10,0,2,12,28.57,-2154.82,-2.1548,0.2375,2506.5,2.5065,-153.92,97845.18
52,70,12:00,2.0,1.1,12,4,8,0,2,10,33.33,-1642.77,-1.6428,0.29,2004.45,2.0045,-136.9,98357.23
52,70,12:00,2.0,1.2,9,2,7,0,2,7,22.22,-1956.18,-1.9562,0.1088,2109.03,2.109,-217.35,98043.82
52,70,12:00,2.5,1.0,14,4,10,0,2,12,28.57,-2154.82,-2.1548,0.2375,2506.5,2.5065,-153.92,97845.18
52,70,12:00,2.5,1.1,12,4,8,0,2,10,33.33,-1642.77,-1.6428,0.29,2004.45,2.0045,-136.9,98357.23
52,70,12:00,2.5,1.2,9,2,7,0,2,7,22.22,-1956.18,-1.9562,0.1088,2109.03,2.109,-217.35,98043.82
52,70,13:00,1.5,1.0,19,5,14,0,3,16,26.32,-3023.83,-3.0238,0.2485,3574.06,3.5741,-159.15,96976.17
52,70,13:00,1.5,1.1,18,5,13,0,3,15,27.78,-2741.33,-2.7413,0.2673,3301.56,3.3016,-152.3,97258.67
52,70,13:00,1.5,1.2,18,5,13,0,3,15,27.78,-2762.37,-2.7624,0.2631,3320.19,3.3202,-153.47,97237.63
52,70,13:00,2.0,1.0,19,5,14,0,3,16,26.32,-3023.83,-3.0238,0.2485,3574.06,3.5741,-159.15,96976.17
52,70,13:00,2.0,1.1,18,5,13,0,3,15,27.78,-2741.33,-2.7413,0.2673,3301.56,3.3016,-152.3,97258.67
52,70,13:00,2.0,1.2,18,5,13,0,3,15,27.78,-2762.37,-2.7624,0.2631,3320.19,3.3202,-153.47,97237.63
52,70,13:00,2.5,1.0,19,5,14,0,3,16,26.32,-3023.83,-3.0238,0.2485,3574.06,3.5741,-159.15,96976.17
52,70,13:00,2.5,1.1,18,5,13,0,3,15,27.78,-2741.33,-2.7413,0.2673,3301.56,3.3016,-152.3,97258.67
52,70,13:00,2.5,1.2,18,5,13,0,3,15,27.78,-2762.37,-2.7624,0.2631,3320.19,3.3202,-153.47,97237.63
52,70,15:00,1.5,1.0,29,11,18,0,3,26,37.93,-2216.75,-2.2167,0.4883,3603.26,3.6033,-76.44,97783.25
52,70,15:00,1.5,1.1,29,11,18,0,3,26,37.93,-2337.77,-2.3378,0.4726,3690.51,3.6905,-80.61,97662.23
52,70,15:00,1.5,1.2,28,11,17,0,3,25,39.29,-2078.25,-2.0782,0.4908,3351.19,3.3512,-74.22,97921.75
52,70,15:00,2.0,1.0,29,11,18,0,3,26,37.93,-2216.75,-2.2167,0.4883,3603.26,3.6033,-76.44,97783.25
52,70,15:00,2.0,1.1,29,11,18,0,3,26,37.93,-2337.77,-2.3378,0.4726,3690.51,3.6905,-80.61,97662.23
52,70,15:00,2.0,1.2,28,11,17,0,3,25,39.29,-2078.25,-2.0782,0.4908,3351.19,3.3512,-74.22,97921.75
52,70,15:00,2.5,1.0,29,11,18,0,3,26,37.93,-2216.75,-2.2167,0.4883,3603.26,3.6033,-76.44,97783.25
52,70,15:00,2.5,1.1,29,11,18,0,3,26,37.93,-2337.77,-2.3378,0.4726,3690.51,3.6905,-80.61,97662.23
52,70,15:00,2.5,1.2,28,11,17,0,3,25,39.29,-2078.25,-2.0782,0.4908,3351.19,3.3512,-74.22,97921.75
52,72,11:00,1.5,1.0,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,72,11:00,1.5,1.1,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,72,11:00,1.5,1.2,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,72,11:00,2.0,1.0,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,72,11:00,2.0,1.1,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,72,11:00,2.0,1.2,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,72,11:00,2.5,1.0,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,72,11:00,2.5,1.1,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,72,11:00,2.5,1.2,3,1,2,0,1,2,33.33,-602.57,-0.6026,0.1249,688.61,0.6886,-200.86,99397.43
52,72,12:00,1.5,1.0,14,4,10,0,2,12,28.57,-2149.85,-2.1498,0.2379,2501.53,2.5015,-153.56,97850.15
52,72,12:00,1.5,1.1,13,4,9,0,2,11,30.77,-1950.7,-1.9507,0.2559,2312.38,2.3124,-150.05,98049.3
52,72,12:00,1.5,1.2,10,2,8,0,2,8,20.0,-2264.18,-2.2642,0.0954,2417.03,2.417,-226.42,97735.82
52,72,12:00,2.0,1.0,14,4,10,0,2,12,28.57,-2149.85,-2.1498,0.2379,2501.53,2.5015,-153.56,97850.15
52,72,12:00,2.0,1.1,13,4,9,0,2,11,30.77,-1950.7,-1.9507,0.2559,2312.38,2.3124,-150.05,98049.3
52,72,12:00,2.0,1.2,10,2,8,0,2,8,20.0,-2264.18,-2.2642,0.0954,2417.03,2.417,-226.42,97735.82
