lookback_period,minimum_rsi,minimum_volume_ratio,stop_atr_multiplier,target_atr_multiplier,symbols_tested,profitable_symbols,losing_symbols,breakeven_symbols,profitable_symbol_percent,total_trades,combined_win_rate,combined_net_pnl,average_pnl_per_symbol,portfolio_profit_factor,eligible_for_ranking
10,50.0,1.0,1.2,2.0,10,0,10,0,0.0,564,27.127234042553187,-19882.67,-1988.2669999999998,0.0,True
10,55.0,1.0,1.0,2.5,10,0,10,0,0.0,562,22.06435943060498,-19965.51,-1996.551,0.0,True
8,60.0,1.0,1.0,2.0,10,0,10,0,0.0,563,26.10985790408526,-19979.19,-1997.9189999999999,0.0,True
8,50.0,1.0,1.0,2.5,10,0,10,0,0.0,609,24.465763546798026,-20019.94,-2001.994,0.0,True
10,55.0,1.0,1.2,2.0,10,0,10,0,0.0,562,26.5114768683274,-20261.82,-2026.182,0.0,True
8,55.0,1.0,1.0,2.5,10,0,10,0,0.0,607,24.051993410214173,-20344.88,-2034.488,0.0,True
10,50.0,1.0,1.2,2.5,10,0,10,0,0.0,564,23.04840425531915,-20402.47,-2040.247,0.0,True
10,50.0,1.0,1.0,3.0,10,0,10,0,0.0,564,19.148244680851064,-20497.06,-2049.706,0.0,True
10,55.0,1.0,1.0,3.0,10,0,10,0,0.0,562,18.86090747330961,-20573.01,-2057.301,0.0,True
10,50.0,1.0,1.0,2.0,10,0,10,0,0.0,564,24.646436170212766,-20581.83,-2058.183,0.0,True
10,55.0,1.0,1.2,2.5,10,0,10,0,0.0,562,22.59661921708185,-20637.929999999997,-2063.7929999999997,0.0,True
8,50.0,1.0,1.0,3.0,10,0,10,0,0.0,609,21.0171592775041,-20643.42,-2064.3419999999996,0.0,True
8,50.0,1.0,1.2,2.0,10,0,10,0,0.0,609,28.407060755336616,-20738.340000000004,-2073.8340000000003,0.0,True
8,50.0,1.0,1.2,3.0,10,0,10,0,0.0,609,22.002118226600984,-20749.67,-2074.9669999999996,0.0,True
10,55.0,1.0,1.0,2.0,10,0,10,0,0.0,562,24.378985765124558,-20774.15,-2077.415,0.0,True
8,55.0,1.0,1.0,3.0,10,0,10,0,0.0,607,20.757001647446458,-20785.590000000004,-2078.559,0.0,True
8,55.0,1.0,1.2,3.0,10,0,10,0,0.0,607,21.58074135090609,-21065.270000000004,-2106.5270000000005,0.0,True
8,50.0,1.0,1.2,2.5,10,0,10,0,0.0,609,24.138275862068966,-21118.48,-2111.848,0.0,True
8,55.0,1.0,1.2,2.0,10,0,10,0,0.0,607,27.678220757825372,-21290.420000000002,-2129.0420000000004,0.0,True
8,55.0,1.0,1.2,2.5,10,0,10,0,0.0,607,23.72357495881384,-21407.47,-2140.7470000000003,0.0,True
8,50.0,1.0,1.0,2.0,10,0,10,0,0.0,609,26.109819376026273,-21581.36,-2158.136,0.0,True
8,55.0,1.0,1.0,2.0,10,0,10,0,0.0,607,25.700790774299836,-21895.119999999995,-2189.5119999999997,0.0,True
